"gene_id","aqp_family_subfamily","subfamilia_phylo","GreenFruit_1","GreenFruit_2","GreenFruit_3","RedFruit_1","RedFruit_2","RedFruit_3","Crown_1","Crown_2","Crown_3","LeafCtrl_1","LeafCtrl_2","LeafCtrl_3","RootsCtrl_1","RootsCtrl_3","AuxBud_1"
"Fxa1Ag01329","FaPIP2","PIP",1.63739460855075,0,0,0,0,0,0,0,0,0,0,0,0,1.13315276854548,0
"Fxa1Ag02792","FaSIP2","SIP",99.881071121596,112.76702802017,123.715668862974,64.6529337429974,68.5849422599296,91.7573716902629,164.643928183245,191.438051246214,132.512078070571,164.181354864068,200.006437159778,286.92629232021,148.138575387504,205.100651106732,54
"Fxa1Bg01161","FaPIP2","PIP",0,0,0,0,1.0716397228114,0,0,0,0,0,2.29892456505492,0,0,0,0
"Fxa1Cg01161","FaPIP2","PIP",0.818697304275377,0.794134000142042,0.835916681506582,0,0,0,0,0,0,2.01449515170635,2.29892456505492,1.15696085612988,0,0,1
"Fxa1Cg02650","FaSIP2","SIP",60.5836005163779,63.5307200113634,61.0219177499805,53.2435924942331,48.223787526513,44.7863361821521,51.6180964033957,41.9991643040162,29.4471284601268,84.6087963716667,102.302143144944,151.561872153014,98.0917593782123,91.7853742521837,77
"Fxa1Dg01169","FaPIP2","PIP",0,0,2.50775004451975,0,0,0,0,0,0,1.00724757585318,2.29892456505492,2.31392171225976,1.00093632018584,0,1
"Fxa1Dg02410","FaSIP2","SIP",138.359844422539,193.768696034658,161.33191953077,115.994969362436,110.378891449574,132.174309220498,322.168118931539,402.410597517551,260.817423503981,264.906112449385,383.920402364172,407.250221357717,237.221907884044,198.301734495459,123
"Fxa2Ag00184","FaXIP2","XIP",5.73088112992764,1.58826800028408,0,0,0,0,0.889967179368892,0.976724751256192,2.10336631858049,4.0289903034127,1.14946228252746,9.25568684903902,10.0093632018584,4.53261107418191,3
"Fxa2Ag00187","FaXIP1","XIP",0.818697304275377,0,0,0,0,0,0,0,3.15504947787073,23.166694244623,37.9322553234063,8.09872599290914,12.0112358422301,5.66576384272739,0
"Fxa2Ag01701","FaPIP2","PIP",1187.92978850357,1264.26132822613,1288.98352288315,50.3912571820421,47.1521478037016,9.83114696681388,785.841019382732,560.640007221054,657.301974556403,789.68209946889,894.281655806366,529.888072107484,290.271532853894,404.535538370736,870
